,author,date,text,sent
0,bkakshay39,2021-05-06 14:28:48," #Promote2SR
Don’t torture the pg residents ....WE ARE ALREADY EXHAUSTED #JusticeForFinalYrPG #Promote2SR 

  …",-1
1,Christipaws,2021-05-06 14:28:49, Elise Stefanik is now the front-runner to replace Liz Cheney as GOP Conference Chair. A thread on some of her votes in Congre…,0
2,tzugyutae,2021-05-06 14:28:49, new addition to kwon family's wall 😄 ,1
3,EricLow69046856,2021-05-06 14:28:49," Imagine your last act on Earth before you meet your Maker is ""I voted for someone obviously afflicted with mental illne…",-1
4,lovmgyu,2021-05-06 14:28:50, new addition to kwon family's wall 😄 ,1
5,dhara84,2021-05-06 14:28:51, Volunteers of  -Singapore doing remarkable service to support India during these trying times. (Ms Nishi Kuttan…,1
6,MarkCCrowley,2021-05-06 14:28:52," Every manager should hang this on his or her wall. In the end, it's all about respect and kindness. #management #leadershi…",1
7,planet_miya,2021-05-06 14:28:52," You know what they say about a masterpiece..

PIN HER TO THE WALL 😈 ",1
8,NonVitalTooth,2021-05-06 14:28:53," Place a shark jaws skeleton on your wall , it would definitely drive away your phobia eventually ",0
9,Isfar2020,2021-05-06 14:28:54, These channels have not only been complicit in peddling the BJP’s false narrative but have done far worse things like inc…,-1
10,tradermaymz,2021-05-06 14:28:55,"$PDPR
Small wall on the ask at .0001 for 31m
I’m down about 97.9% not to worried just need to bounce here #Joke",1
11,BlaxeDj,2021-05-06 14:28:55,To the window..... To the wall....     #flownachrome #ktniwake #pioneerdj… ,0
12,Marc_Allen513,2021-05-06 14:28:56," According to estimates from border officials, as many as 30,000 illegal immigrants have escaped into the U.S. in just th…",-1
13,Thee_Ratz,2021-05-06 14:28:57, Elder Paisios throws a young man against the wall with slight move of his hand after he grabbed the elder and blasphemed hi…,1
14,nuigurumiSaku,2021-05-06 14:28:57,4th wall break #sgDarling  #NintendoSwitch ,0
15,mckdaddy1,2021-05-06 14:28:57, Celebrating a fly out like it’s a home turn: Joc Pederson finally became a Cub. ,1
16,uikuro,2021-05-06 14:28:57,Breakthrough the wall! it's the end of sorrow of the truth,-1
17,Massawa93933746,2021-05-06 14:28:58," Yeap... Why bother even with z most elementary geographic facts about ppl &amp; places 1 has no care for? 

The exigency here i…",-1
18,sanjeevkhanna2,2021-05-06 14:28:59,          …,0
19,MarkAnthonySm16,2021-05-06 14:29:00," King Of The Jungle Wall Art Animal

#artprint #artprints #art #artwork #artforsale #canvasart #c…",0
20,PartmalX,2021-05-06 14:29:00," To Delhi-Noida channels. 

For too long U have been peddling a narrative commanded by BJP’s MO-SHA. Toxic. Many of us no…",0
21,charlottey_x,2021-05-06 14:29:00, Every time I see Kim where white u think of that stain on khloes wall and I question how she keeps it off her clothes,0
22,ESpirit72,2021-05-06 14:29:01," Hey Calgary, this is a great idea. This could be an effective way to support restaurants *and* help ensure people are…",1
